Water RowID,Date Time,Water Temp C,Water LoggerID,SiteID,Date,Time
285,2012-10-24 13:00,15.127,1134445,HRCC,2012-10-24,13:00:00
286,2012-10-24 13:30,15.652,1134445,HRCC,2012-10-24,13:30:00
287,2012-10-24 14:00,16.487,1134445,HRCC,2012-10-24,14:00:00
288,2012-10-24 14:30,11.686,1134445,HRCC,2012-10-24,14:30:00
289,2012-10-24 15:00,11.005,1134445,HRCC,2012-10-24,15:00:00
290,2012-10-24 15:30,11.029,1134445,HRCC,2012-10-24,15:30:00
291,2012-10-24 16:00,11.029,1134445,HRCC,2012-10-24,16:00:00
292,2012-10-24 16:30,11.053,1134445,HRCC,2012-10-24,16:30:00
293,2012-10-24 17:00,11.029,1134445,HRCC,2012-10-24,17:00:00
294,2012-10-24 17:30,11.029,1134445,HRCC,2012-10-24,17:30:00
295,2012-10-24 18:00,11.005,1134445,HRCC,2012-10-24,18:00:00
296,2012-10-24 18:30,10.98,1134445,HRCC,2012-10-24,18:30:00
297,2012-10-24 19:00,10.956,1134445,HRCC,2012-10-24,19:00:00
298,2012-10-24 19:30,10.956,1134445,HRCC,2012-10-24,19:30:00
299,2012-10-24 20:00,10.932,1134445,HRCC,2012-10-24,20:00:00
300,2012-10-24 20:30,10.907,1134445,HRCC,2012-10-24,20:30:00
301,2012-10-24 21:00,10.883,1134445,HRCC,2012-10-24,21:00:00
302,2012-10-24 21:30,10.858,1134445,HRCC,2012-10-24,21:30:00
303,2012-10-24 22:00,10.834,1134445,HRCC,2012-10-24,22:00:00
304,2012-10-24 22:30,10.81,1134445,HRCC,2012-10-24,22:30:00
305,2012-10-24 23:00,10.785,1134445,HRCC,2012-10-24,23:00:00
306,2012-10-24 23:30,10.761,1134445,HRCC,2012-10-24,23:30:00
307,2012-10-25 00:00,10.736,1134445,HRCC,2012-10-25,00:00:00
308,2012-10-25 00:30,10.712,1134445,HRCC,2012-10-25,00:30:00
309,2012-10-25 01:00,10.712,1134445,HRCC,2012-10-25,01:00:00
310,2012-10-25 01:30,10.687,1134445,HRCC,2012-10-25,01:30:00
311,2012-10-25 02:00,10.687,1134445,HRCC,2012-10-25,02:00:00
312,2012-10-25 02:30,10.663,1134445,HRCC,2012-10-25,02:30:00
313,2012-10-25 03:00,10.638,1134445,HRCC,2012-10-25,03:00:00
314,2012-10-25 03:30,10.638,1134445,HRCC,2012-10-25,03:30:00
315,2012-10-25 04:00,10.638,1134445,HRCC,2012-10-25,04:00:00
316,2012-10-25 04:30,10.614,1134445,HRCC,2012-10-25,04:30:00
317,2012-10-25 05:00,10.614,1134445,HRCC,2012-10-25,05:00:00
318,2012-10-25 05:30,10.614,1134445,HRCC,2012-10-25,05:30:00
319,2012-10-25 06:00,10.614,1134445,HRCC,2012-10-25,06:00:00
320,2012-10-25 06:30,10.59,1134445,HRCC,2012-10-25,06:30:00
321,2012-10-25 07:00,10.565,1134445,HRCC,2012-10-25,07:00:00
322,2012-10-25 07:30,10.541,1134445,HRCC,2012-10-25,07:30:00
323,2012-10-25 08:00,10.541,1134445,HRCC,2012-10-25,08:00:00
324,2012-10-25 08:30,10.541,1134445,HRCC,2012-10-25,08:30:00
325,2012-10-25 09:00,10.565,1134445,HRCC,2012-10-25,09:00:00
