Water RowID,Date Time,Water Temp C,Water LoggerID,SiteID,Date,Time
1,2014-04-28 13:00,9.163,10406272,HRCC,2014-04-28,13:00:00
2,2014-04-28 13:30,9.583,10406272,HRCC,2014-04-28,13:30:00
3,2014-04-28 14:00,9.952,10406272,HRCC,2014-04-28,14:00:00
4,2014-04-28 14:30,10.173,10406272,HRCC,2014-04-28,14:30:00
5,2014-04-28 15:00,10.271,10406272,HRCC,2014-04-28,15:00:00
6,2014-04-28 15:30,10.345,10406272,HRCC,2014-04-28,15:30:00
7,2014-04-28 16:00,10.492,10406272,HRCC,2014-04-28,16:00:00
8,2014-04-28 16:30,10.565,10406272,HRCC,2014-04-28,16:30:00
9,2014-04-28 17:00,10.59,10406272,HRCC,2014-04-28,17:00:00
10,2014-04-28 17:30,10.663,10406272,HRCC,2014-04-28,17:30:00
11,2014-04-28 18:00,10.736,10406272,HRCC,2014-04-28,18:00:00
12,2014-04-28 18:30,10.736,10406272,HRCC,2014-04-28,18:30:00
13,2014-04-28 19:00,10.785,10406272,HRCC,2014-04-28,19:00:00
14,2014-04-28 19:30,10.761,10406272,HRCC,2014-04-28,19:30:00
15,2014-04-28 20:00,10.712,10406272,HRCC,2014-04-28,20:00:00
16,2014-04-28 20:30,10.638,10406272,HRCC,2014-04-28,20:30:00
17,2014-04-28 21:00,10.565,10406272,HRCC,2014-04-28,21:00:00
18,2014-04-28 21:30,10.492,10406272,HRCC,2014-04-28,21:30:00
19,2014-04-28 22:00,10.394,10406272,HRCC,2014-04-28,22:00:00
20,2014-04-28 22:30,10.271,10406272,HRCC,2014-04-28,22:30:00
21,2014-04-28 23:00,10.149,10406272,HRCC,2014-04-28,23:00:00
22,2014-04-28 23:30,10.026,10406272,HRCC,2014-04-28,23:30:00
23,2014-04-29 00:00,9.903,10406272,HRCC,2014-04-29,00:00:00
24,2014-04-29 00:30,9.78,10406272,HRCC,2014-04-29,00:30:00
25,2014-04-29 01:00,9.682,10406272,HRCC,2014-04-29,01:00:00
26,2014-04-29 01:30,9.583,10406272,HRCC,2014-04-29,01:30:00
