GageID,SiteID,Date.Time,Water.Temp.C,Water.Temp.C_cd,Air.Temp.C,Air.Temp.C_cd,Discharge.ft3.s,Discharge.ft3.s_cd,Water.Level.ft,Water.Level.ft_cd
01187300,01187300,2017-02-01 00:00:00,0.1,P,-4.6,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 00:15:00,0.1,P,-4.6,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 00:30:00,0.1,P,-4.6,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 00:45:00,0.1,P,-4.6,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 01:00:00,0.1,P,-4.6,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 01:15:00,0.1,P,-4.6,P,13.6,P,0.92,P
01187300,01187300,2017-02-01 01:30:00,0.1,P,-4.5,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 01:45:00,0.1,P,-4.6,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 02:00:00,0.1,P,-4.5,P,13.6,P,0.92,P
01187300,01187300,2017-02-01 02:15:00,0.1,P,-4.5,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 02:30:00,0.1,P,-4.5,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 02:45:00,0.1,P,-4.5,P,13.8,P,0.93,P
01187300,01187300,2017-02-01 03:00:00,0.1,P,-4.5,P,13.6,P,0.92,P
01187300,01187300,2017-02-01 03:15:00,0.1,P,-4.6,P,13.6,P,0.92,P
01187300,01187300,2017-02-01 03:30:00,0.1,P,-4.6,P,13.6,P,0.92,P
01187300,01187300,2017-02-01 03:45:00,0.1,P,-4.5,P,13.4,P,0.91,P
01187300,01187300,2017-02-01 04:00:00,0.1,P,-4.6,P,13.6,P,0.92,P
01187300,01187300,2017-02-01 04:15:00,0.1,P,-4.5,P,13.4,P,0.91,P
01187300,01187300,2017-02-01 04:30:00,0.1,P,-4.6,P,13.6,P,0.92,P
01187300,01187300,2017-02-01 04:45:00,0.1,P,-4.8,P,13.4,P,0.91,P
01187300,01187300,2017-02-01 05:00:00,0.1,P,-5,P,13.4,P,0.91,P
01187300,01187300,2017-02-01 05:15:00,0.1,P,-5,P,13.4,P,0.91,P
01187300,01187300,2017-02-01 05:30:00,0.1,P,-5.1,P,13.4,P,0.91,P
01187300,01187300,2017-02-01 05:45:00,0.1,P,-5.4,P,13.4,P,0.91,P
01187300,01187300,2017-02-01 06:00:00,0.1,P,-6.1,P,13.2,P,0.9,P
01187300,01187300,2017-02-01 06:15:00,0.1,P,-6.7,P,13.2,P,0.9,P
01187300,01187300,2017-02-01 06:30:00,0.1,P,-7.1,P,13.2,P,0.9,P
01187300,01187300,2017-02-01 06:45:00,0.1,P,-7.5,P,13.2,P,0.9,P
01187300,01187300,2017-02-01 07:00:00,0.1,P,-7.8,P,12.9,P,0.89,P
01187300,01187300,2017-02-01 07:15:00,0.1,P,-8.1,P,13.2,P,0.9,P
01187300,01187300,2017-02-01 07:30:00,0.1,P,-7.8,P,12.9,P,0.89,P
01187300,01187300,2017-02-01 07:45:00,0.1,P,-7.2,P,13.2,P,0.9,P
01187300,01187300,2017-02-01 08:00:00,0.1,P,-6.6,P,13.2,P,0.9,P
