Date ,Time,Water Temp C,Water Logger ID,SiteID
7-Jun-2013,13:30:00,13.770,735557,PBCC
7-Jun-2013,14:00:00,13.770,735558,PBCC
7-Jun-2013,14:30:00,13.770,735559,PBCC
7-Jun-2013,15:00:00,13.770,735560,PBCC
7-Jun-2013,15:30:00,13.770,735561,PBCC
7-Jun-2013,16:00:00,13.770,735562,PBCC
7-Jun-2013,16:30:00,13.770,735563,PBCC
7-Jun-2013,17:00:00,13.770,735564,PBCC
7-Jun-2013,17:30:00,13.620,735565,PBCC
7-Jun-2013,18:00:00,13.620,735566,PBCC
7-Jun-2013,18:30:00,13.620,735567,PBCC
7-Jun-2013,19:00:00,13.620,735568,PBCC
7-Jun-2013,19:30:00,13.620,735569,PBCC
7-Jun-2013,20:00:00,13.620,735570,PBCC
7-Jun-2013,20:30:00,13.620,735571,PBCC
7-Jun-2013,21:00:00,13.620,735572,PBCC
7-Jun-2013,21:30:00,13.470,735573,PBCC
7-Jun-2013,22:00:00,13.470,735574,PBCC
7-Jun-2013,22:30:00,13.470,735575,PBCC
7-Jun-2013,23:00:00,13.470,735576,PBCC
7-Jun-2013,23:30:00,13.310,735577,PBCC
8-Jun-2013,0:00:00,13.310,735578,PBCC
8-Jun-2013,0:30:00,13.310,735579,PBCC
8-Jun-2013,1:00:00,13.160,735580,PBCC
8-Jun-2013,1:30:00,13.160,735581,PBCC
8-Jun-2013,2:00:00,13.010,735582,PBCC
8-Jun-2013,2:30:00,13.010,735583,PBCC
8-Jun-2013,3:00:00,13.010,735584,PBCC
8-Jun-2013,3:30:00,12.850,735585,PBCC
8-Jun-2013,4:00:00,12.850,735586,PBCC
8-Jun-2013,4:30:00,12.850,735587,PBCC
8-Jun-2013,5:00:00,12.850,735588,PBCC
8-Jun-2013,5:30:00,12.690,735589,PBCC
8-Jun-2013,6:00:00,12.690,735590,PBCC
8-Jun-2013,6:30:00,12.690,735591,PBCC
8-Jun-2013,7:00:00,12.690,735592,PBCC
8-Jun-2013,7:30:00,12.850,735593,PBCC
8-Jun-2013,8:00:00,12.850,735594,PBCC
8-Jun-2013,8:30:00,12.850,735595,PBCC
8-Jun-2013,9:00:00,13.010,735596,PBCC
8-Jun-2013,9:30:00,13.010,735597,PBCC
8-Jun-2013,10:00:00,13.160,735598,PBCC
8-Jun-2013,10:30:00,13.310,735599,PBCC
8-Jun-2013,11:00:00,13.470,735600,PBCC
8-Jun-2013,11:30:00,13.620,735601,PBCC
8-Jun-2013,12:00:00,13.930,735602,PBCC
8-Jun-2013,12:30:00,14.390,735603,PBCC
8-Jun-2013,13:00:00,14.710,735604,PBCC
8-Jun-2013,13:30:00,15.020,735605,PBCC
8-Jun-2013,14:00:00,15.340,735606,PBCC
8-Jun-2013,14:30:00,15.500,735607,PBCC
8-Jun-2013,15:00:00,15.820,735608,PBCC
8-Jun-2013,15:30:00,15.970,735609,PBCC
8-Jun-2013,16:00:00,16.130,735610,PBCC
8-Jun-2013,16:30:00,16.290,735611,PBCC
8-Jun-2013,17:00:00,16.450,735612,PBCC
8-Jun-2013,17:30:00,16.450,735613,PBCC
8-Jun-2013,18:00:00,16.450,735614,PBCC
8-Jun-2013,18:30:00,16.450,735615,PBCC
8-Jun-2013,19:00:00,16.450,735616,PBCC
8-Jun-2013,19:30:00,16.450,735617,PBCC
8-Jun-2013,20:00:00,16.290,735618,PBCC
8-Jun-2013,20:30:00,16.290,735619,PBCC
8-Jun-2013,21:00:00,16.130,735620,PBCC
8-Jun-2013,21:30:00,16.130,735621,PBCC
8-Jun-2013,22:00:00,15.970,735622,PBCC
8-Jun-2013,22:30:00,15.820,735623,PBCC
8-Jun-2013,23:00:00,15.820,735624,PBCC
8-Jun-2013,23:30:00,15.660,735625,PBCC
9-Jun-2013,0:00:00,15.500,735626,PBCC
9-Jun-2013,0:30:00,15.340,735627,PBCC
9-Jun-2013,1:00:00,15.180,735628,PBCC
9-Jun-2013,1:30:00,15.180,735629,PBCC
9-Jun-2013,2:00:00,15.020,735630,PBCC
9-Jun-2013,2:30:00,14.870,735631,PBCC
9-Jun-2013,3:00:00,14.870,735632,PBCC
9-Jun-2013,3:30:00,14.710,735633,PBCC
9-Jun-2013,4:00:00,14.550,735634,PBCC
9-Jun-2013,4:30:00,14.550,735635,PBCC
9-Jun-2013,5:00:00,14.390,735636,PBCC
9-Jun-2013,5:30:00,14.390,735637,PBCC
9-Jun-2013,6:00:00,14.240,735638,PBCC
9-Jun-2013,6:30:00,14.080,735639,PBCC
9-Jun-2013,7:00:00,14.080,735640,PBCC
9-Jun-2013,7:30:00,14.080,735641,PBCC
9-Jun-2013,8:00:00,14.080,735642,PBCC
9-Jun-2013,8:30:00,14.080,735643,PBCC
9-Jun-2013,9:00:00,14.240,735644,PBCC
9-Jun-2013,9:30:00,14.390,735645,PBCC
9-Jun-2013,10:00:00,14.550,735646,PBCC
9-Jun-2013,10:30:00,14.870,735647,PBCC
9-Jun-2013,11:00:00,15.180,735648,PBCC
9-Jun-2013,11:30:00,15.660,735649,PBCC
9-Jun-2013,12:00:00,15.970,735650,PBCC
9-Jun-2013,12:30:00,16.290,735651,PBCC
9-Jun-2013,13:00:00,16.610,735652,PBCC
9-Jun-2013,13:30:00,16.930,735653,PBCC
9-Jun-2013,14:00:00,17.240,735654,PBCC
9-Jun-2013,14:30:00,17.560,735655,PBCC
9-Jun-2013,15:00:00,17.880,735656,PBCC
9-Jun-2013,15:30:00,18.040,735657,PBCC
9-Jun-2013,16:00:00,18.040,735658,PBCC
9-Jun-2013,16:30:00,18.040,735659,PBCC
9-Jun-2013,17:00:00,18.040,735660,PBCC
9-Jun-2013,17:30:00,18.040,735661,PBCC
9-Jun-2013,18:00:00,18.040,735662,PBCC
9-Jun-2013,18:30:00,18.040,735663,PBCC
9-Jun-2013,19:00:00,17.880,735664,PBCC
9-Jun-2013,19:30:00,17.720,735665,PBCC
9-Jun-2013,20:00:00,17.720,735666,PBCC
9-Jun-2013,20:30:00,17.560,735667,PBCC
9-Jun-2013,21:00:00,17.410,735668,PBCC
9-Jun-2013,21:30:00,17.240,735669,PBCC
9-Jun-2013,22:00:00,17.240,735670,PBCC
9-Jun-2013,22:30:00,17.080,735671,PBCC
9-Jun-2013,23:00:00,16.930,735672,PBCC
9-Jun-2013,23:30:00,16.770,735673,PBCC
10-Jun-2013,0:00:00,16.610,735674,PBCC
10-Jun-2013,0:30:00,16.450,735675,PBCC
10-Jun-2013,1:00:00,16.290,735676,PBCC
10-Jun-2013,1:30:00,16.130,735677,PBCC
10-Jun-2013,2:00:00,15.970,735678,PBCC
10-Jun-2013,2:30:00,15.820,735679,PBCC
10-Jun-2013,3:00:00,15.820,735680,PBCC
10-Jun-2013,3:30:00,15.500,735681,PBCC
10-Jun-2013,4:00:00,15.340,735682,PBCC
10-Jun-2013,4:30:00,15.180,735683,PBCC
10-Jun-2013,5:00:00,15.020,735684,PBCC
10-Jun-2013,5:30:00,14.870,735685,PBCC
10-Jun-2013,6:00:00,14.710,735686,PBCC
10-Jun-2013,6:30:00,14.710,735687,PBCC
10-Jun-2013,7:00:00,14.550,735688,PBCC
10-Jun-2013,7:30:00,14.550,735689,PBCC
10-Jun-2013,8:00:00,14.550,735690,PBCC
10-Jun-2013,8:30:00,14.550,735691,PBCC
10-Jun-2013,9:00:00,14.550,735692,PBCC
10-Jun-2013,9:30:00,14.710,735693,PBCC
10-Jun-2013,10:00:00,14.710,735694,PBCC
10-Jun-2013,10:30:00,14.870,735695,PBCC
10-Jun-2013,11:00:00,14.870,735696,PBCC
10-Jun-2013,11:30:00,15.020,735697,PBCC
10-Jun-2013,12:00:00,15.020,735698,PBCC
10-Jun-2013,12:30:00,15.180,735699,PBCC
10-Jun-2013,13:00:00,15.340,735700,PBCC
10-Jun-2013,13:30:00,15.340,735701,PBCC
10-Jun-2013,14:00:00,15.340,735702,PBCC
10-Jun-2013,14:30:00,15.500,735703,PBCC
10-Jun-2013,15:00:00,15.500,735704,PBCC
10-Jun-2013,15:30:00,15.500,735705,PBCC
10-Jun-2013,16:00:00,15.500,735706,PBCC
10-Jun-2013,16:30:00,15.500,735707,PBCC
10-Jun-2013,17:00:00,15.500,735708,PBCC
10-Jun-2013,17:30:00,15.500,735709,PBCC
10-Jun-2013,18:00:00,15.500,735710,PBCC
10-Jun-2013,18:30:00,15.500,735711,PBCC
10-Jun-2013,19:00:00,15.340,735712,PBCC
10-Jun-2013,19:30:00,15.340,735713,PBCC
10-Jun-2013,20:00:00,15.340,735714,PBCC
10-Jun-2013,20:30:00,15.340,735715,PBCC
10-Jun-2013,21:00:00,15.340,735716,PBCC
10-Jun-2013,21:30:00,15.180,735717,PBCC
10-Jun-2013,22:00:00,15.180,735718,PBCC
10-Jun-2013,22:30:00,15.180,735719,PBCC
10-Jun-2013,23:00:00,15.020,735720,PBCC
10-Jun-2013,23:30:00,15.020,735721,PBCC
11-Jun-2013,0:00:00,15.020,735722,PBCC
11-Jun-2013,0:30:00,15.020,735723,PBCC
11-Jun-2013,1:00:00,14.870,735724,PBCC
11-Jun-2013,1:30:00,14.870,735725,PBCC
11-Jun-2013,2:00:00,14.710,735726,PBCC
11-Jun-2013,2:30:00,14.710,735727,PBCC
11-Jun-2013,3:00:00,14.550,735728,PBCC
11-Jun-2013,3:30:00,14.550,735729,PBCC
11-Jun-2013,4:00:00,14.390,735730,PBCC
11-Jun-2013,4:30:00,14.390,735731,PBCC
11-Jun-2013,5:00:00,14.240,735732,PBCC
11-Jun-2013,5:30:00,14.240,735733,PBCC
11-Jun-2013,6:00:00,14.240,735734,PBCC
11-Jun-2013,6:30:00,14.080,735735,PBCC
11-Jun-2013,7:00:00,14.080,735736,PBCC
11-Jun-2013,7:30:00,14.080,735737,PBCC
11-Jun-2013,8:00:00,14.080,735738,PBCC
11-Jun-2013,8:30:00,14.080,735739,PBCC
11-Jun-2013,9:00:00,14.080,735740,PBCC
11-Jun-2013,9:30:00,14.080,735741,PBCC
11-Jun-2013,10:00:00,14.080,735742,PBCC
11-Jun-2013,10:30:00,14.080,735743,PBCC
11-Jun-2013,11:00:00,14.240,735744,PBCC
11-Jun-2013,11:30:00,14.240,735745,PBCC
11-Jun-2013,12:00:00,14.390,735746,PBCC
11-Jun-2013,12:30:00,14.550,735747,PBCC
11-Jun-2013,13:00:00,14.550,735748,PBCC
11-Jun-2013,13:30:00,14.550,735749,PBCC
11-Jun-2013,14:00:00,14.710,735750,PBCC
11-Jun-2013,14:30:00,14.710,735751,PBCC
11-Jun-2013,15:00:00,14.870,735752,PBCC
11-Jun-2013,15:30:00,14.870,735753,PBCC
11-Jun-2013,16:00:00,14.870,735754,PBCC
11-Jun-2013,16:30:00,15.020,735755,PBCC
11-Jun-2013,17:00:00,15.020,735756,PBCC
11-Jun-2013,17:30:00,14.870,735757,PBCC
11-Jun-2013,18:00:00,14.870,735758,PBCC
11-Jun-2013,18:30:00,14.870,735759,PBCC
11-Jun-2013,19:00:00,14.870,735760,PBCC
11-Jun-2013,19:30:00,14.870,735761,PBCC
11-Jun-2013,20:00:00,14.710,735762,PBCC
11-Jun-2013,20:30:00,14.710,735763,PBCC
11-Jun-2013,21:00:00,14.710,735764,PBCC
11-Jun-2013,21:30:00,14.550,735765,PBCC
11-Jun-2013,22:00:00,14.550,735766,PBCC
11-Jun-2013,22:30:00,14.550,735767,PBCC
11-Jun-2013,23:00:00,14.550,735768,PBCC
11-Jun-2013,23:30:00,14.390,735769,PBCC
12-Jun-2013,0:00:00,14.390,735770,PBCC
12-Jun-2013,0:30:00,14.240,735771,PBCC
12-Jun-2013,1:00:00,14.240,735772,PBCC
12-Jun-2013,1:30:00,14.240,735773,PBCC
12-Jun-2013,2:00:00,14.240,735774,PBCC
12-Jun-2013,2:30:00,14.240,735775,PBCC
12-Jun-2013,3:00:00,14.080,735776,PBCC
12-Jun-2013,3:30:00,14.080,735777,PBCC
12-Jun-2013,4:00:00,14.080,735778,PBCC
12-Jun-2013,4:30:00,14.080,735779,PBCC
12-Jun-2013,5:00:00,14.080,735780,PBCC
12-Jun-2013,5:30:00,14.080,735781,PBCC
12-Jun-2013,6:00:00,13.930,735782,PBCC
12-Jun-2013,6:30:00,13.930,735783,PBCC
12-Jun-2013,7:00:00,14.080,735784,PBCC
12-Jun-2013,7:30:00,13.930,735785,PBCC
12-Jun-2013,8:00:00,14.080,735786,PBCC
12-Jun-2013,8:30:00,14.080,735787,PBCC
12-Jun-2013,9:00:00,14.080,735788,PBCC
12-Jun-2013,9:30:00,14.240,735789,PBCC
12-Jun-2013,10:00:00,14.390,735790,PBCC
12-Jun-2013,10:30:00,14.550,735791,PBCC
12-Jun-2013,11:00:00,14.710,735792,PBCC
12-Jun-2013,11:30:00,14.870,735793,PBCC
12-Jun-2013,12:00:00,14.870,735794,PBCC
12-Jun-2013,12:30:00,15.020,735795,PBCC
12-Jun-2013,13:00:00,15.020,735796,PBCC
12-Jun-2013,13:30:00,15.180,735797,PBCC
12-Jun-2013,14:00:00,15.340,735798,PBCC
12-Jun-2013,14:30:00,15.340,735799,PBCC
12-Jun-2013,15:00:00,15.500,735800,PBCC
12-Jun-2013,15:30:00,15.660,735801,PBCC
12-Jun-2013,16:00:00,15.820,735802,PBCC
12-Jun-2013,16:30:00,15.820,735803,PBCC
12-Jun-2013,17:00:00,15.820,735804,PBCC
12-Jun-2013,17:30:00,15.820,735805,PBCC
12-Jun-2013,18:00:00,15.820,735806,PBCC
12-Jun-2013,18:30:00,15.820,735807,PBCC
12-Jun-2013,19:00:00,15.820,735808,PBCC
12-Jun-2013,19:30:00,15.820,735809,PBCC
12-Jun-2013,20:00:00,15.660,735810,PBCC
12-Jun-2013,20:30:00,15.660,735811,PBCC
12-Jun-2013,21:00:00,15.500,735812,PBCC
12-Jun-2013,21:30:00,15.500,735813,PBCC
12-Jun-2013,22:00:00,15.340,735814,PBCC
12-Jun-2013,22:30:00,15.180,735815,PBCC
12-Jun-2013,23:00:00,15.020,735816,PBCC
12-Jun-2013,23:30:00,15.020,735817,PBCC
13-Jun-2013,0:00:00,14.870,735818,PBCC
13-Jun-2013,0:30:00,14.710,735819,PBCC
13-Jun-2013,1:00:00,14.550,735820,PBCC
13-Jun-2013,1:30:00,14.390,735821,PBCC
13-Jun-2013,2:00:00,14.240,735822,PBCC
13-Jun-2013,2:30:00,14.080,735823,PBCC
13-Jun-2013,3:00:00,14.080,735824,PBCC
13-Jun-2013,3:30:00,13.930,735825,PBCC
13-Jun-2013,4:00:00,13.770,735826,PBCC
13-Jun-2013,4:30:00,13.620,735827,PBCC
13-Jun-2013,5:00:00,13.470,735828,PBCC
13-Jun-2013,5:30:00,13.470,735829,PBCC
13-Jun-2013,6:00:00,13.310,735830,PBCC
13-Jun-2013,6:30:00,13.160,735831,PBCC
13-Jun-2013,7:00:00,13.160,735832,PBCC
13-Jun-2013,7:30:00,13.160,735833,PBCC
13-Jun-2013,8:00:00,13.160,735834,PBCC
13-Jun-2013,8:30:00,13.160,735835,PBCC
13-Jun-2013,9:00:00,13.160,735836,PBCC
13-Jun-2013,9:30:00,13.160,735837,PBCC
13-Jun-2013,10:00:00,13.310,735838,PBCC
13-Jun-2013,10:30:00,13.310,735839,PBCC
13-Jun-2013,11:00:00,13.310,735840,PBCC
13-Jun-2013,11:30:00,13.310,735841,PBCC
13-Jun-2013,12:00:00,13.470,735842,PBCC
13-Jun-2013,12:30:00,13.470,735843,PBCC
13-Jun-2013,13:00:00,13.470,735844,PBCC
13-Jun-2013,13:30:00,13.470,735845,PBCC
13-Jun-2013,14:00:00,13.470,735846,PBCC
13-Jun-2013,14:30:00,13.470,735847,PBCC
13-Jun-2013,15:00:00,13.470,735848,PBCC
13-Jun-2013,15:30:00,13.470,735849,PBCC
13-Jun-2013,16:00:00,13.470,735850,PBCC
13-Jun-2013,16:30:00,13.470,735851,PBCC
13-Jun-2013,17:00:00,13.470,735852,PBCC
13-Jun-2013,17:30:00,13.310,735853,PBCC
13-Jun-2013,18:00:00,13.310,735854,PBCC
13-Jun-2013,18:30:00,13.310,735855,PBCC
13-Jun-2013,19:00:00,13.310,735856,PBCC
13-Jun-2013,19:30:00,13.160,735857,PBCC
13-Jun-2013,20:00:00,13.160,735858,PBCC
13-Jun-2013,20:30:00,13.160,735859,PBCC
13-Jun-2013,21:00:00,13.010,735860,PBCC
13-Jun-2013,21:30:00,13.010,735861,PBCC
13-Jun-2013,22:00:00,13.010,735862,PBCC
13-Jun-2013,22:30:00,13.010,735863,PBCC
13-Jun-2013,23:00:00,12.850,735864,PBCC
13-Jun-2013,23:30:00,12.850,735865,PBCC
14-Jun-2013,0:00:00,12.850,735866,PBCC
14-Jun-2013,0:30:00,12.690,735867,PBCC
14-Jun-2013,1:00:00,12.690,735868,PBCC
14-Jun-2013,1:30:00,12.540,735869,PBCC
14-Jun-2013,2:00:00,12.540,735870,PBCC
14-Jun-2013,2:30:00,12.540,735871,PBCC
14-Jun-2013,3:00:00,12.540,735872,PBCC
14-Jun-2013,3:30:00,12.380,735873,PBCC
14-Jun-2013,4:00:00,12.380,735874,PBCC
14-Jun-2013,4:30:00,12.380,735875,PBCC
14-Jun-2013,5:00:00,12.380,735876,PBCC
14-Jun-2013,5:30:00,12.380,735877,PBCC
14-Jun-2013,6:00:00,12.230,735878,PBCC
14-Jun-2013,6:30:00,12.230,735879,PBCC
14-Jun-2013,7:00:00,12.230,735880,PBCC
14-Jun-2013,7:30:00,12.230,735881,PBCC
14-Jun-2013,8:00:00,12.230,735882,PBCC
14-Jun-2013,8:30:00,12.230,735883,PBCC
14-Jun-2013,9:00:00,12.380,735884,PBCC
14-Jun-2013,9:30:00,12.380,735885,PBCC
14-Jun-2013,10:00:00,12.380,735886,PBCC
14-Jun-2013,10:30:00,12.540,735887,PBCC
14-Jun-2013,11:00:00,12.690,735888,PBCC
14-Jun-2013,11:30:00,12.850,735889,PBCC
14-Jun-2013,12:00:00,13.010,735890,PBCC
14-Jun-2013,12:30:00,13.160,735891,PBCC
14-Jun-2013,13:00:00,13.310,735892,PBCC
14-Jun-2013,13:30:00,13.470,735893,PBCC
14-Jun-2013,14:00:00,13.770,735894,PBCC
14-Jun-2013,14:30:00,14.080,735895,PBCC
14-Jun-2013,15:00:00,14.240,735896,PBCC
14-Jun-2013,15:30:00,14.390,735897,PBCC
14-Jun-2013,16:00:00,14.390,735898,PBCC
14-Jun-2013,16:30:00,14.550,735899,PBCC
14-Jun-2013,17:00:00,14.710,735900,PBCC
14-Jun-2013,17:30:00,14.870,735901,PBCC
14-Jun-2013,18:00:00,14.870,735902,PBCC
14-Jun-2013,18:30:00,14.870,735903,PBCC
14-Jun-2013,19:00:00,14.870,735904,PBCC
14-Jun-2013,19:30:00,14.870,735905,PBCC
14-Jun-2013,20:00:00,14.870,735906,PBCC
14-Jun-2013,20:30:00,14.870,735907,PBCC
14-Jun-2013,21:00:00,14.710,735908,PBCC
14-Jun-2013,21:30:00,14.710,735909,PBCC
14-Jun-2013,22:00:00,14.550,735910,PBCC
14-Jun-2013,22:30:00,14.550,735911,PBCC
14-Jun-2013,23:00:00,14.390,735912,PBCC
14-Jun-2013,23:30:00,14.240,735913,PBCC
15-Jun-2013,0:00:00,14.080,735914,PBCC
15-Jun-2013,0:30:00,14.080,735915,PBCC
15-Jun-2013,1:00:00,13.930,735916,PBCC
15-Jun-2013,1:30:00,13.770,735917,PBCC
15-Jun-2013,2:00:00,13.620,735918,PBCC
15-Jun-2013,2:30:00,13.620,735919,PBCC
15-Jun-2013,3:00:00,13.470,735920,PBCC
15-Jun-2013,3:30:00,13.310,735921,PBCC
15-Jun-2013,4:00:00,13.310,735922,PBCC
15-Jun-2013,4:30:00,13.160,735923,PBCC
15-Jun-2013,5:00:00,13.010,735924,PBCC
15-Jun-2013,5:30:00,12.850,735925,PBCC
15-Jun-2013,6:00:00,12.850,735926,PBCC
15-Jun-2013,6:30:00,12.690,735927,PBCC
15-Jun-2013,7:00:00,12.690,735928,PBCC
15-Jun-2013,7:30:00,12.690,735929,PBCC
15-Jun-2013,8:00:00,12.540,735930,PBCC
15-Jun-2013,8:30:00,12.690,735931,PBCC
15-Jun-2013,9:00:00,12.850,735932,PBCC
15-Jun-2013,9:30:00,13.010,735933,PBCC
15-Jun-2013,10:00:00,13.310,735934,PBCC
15-Jun-2013,10:30:00,13.620,735935,PBCC
15-Jun-2013,11:00:00,13.930,735936,PBCC
15-Jun-2013,11:30:00,14.240,735937,PBCC
15-Jun-2013,12:00:00,14.710,735938,PBCC
15-Jun-2013,12:30:00,15.020,735939,PBCC
15-Jun-2013,13:00:00,15.340,735940,PBCC
15-Jun-2013,13:30:00,15.820,735941,PBCC
15-Jun-2013,14:00:00,16.130,735942,PBCC
15-Jun-2013,14:30:00,16.450,735943,PBCC
15-Jun-2013,15:00:00,16.610,735944,PBCC
15-Jun-2013,15:30:00,16.770,735945,PBCC
15-Jun-2013,16:00:00,16.930,735946,PBCC
15-Jun-2013,16:30:00,16.930,735947,PBCC
15-Jun-2013,17:00:00,16.930,735948,PBCC
15-Jun-2013,17:30:00,16.930,735949,PBCC
15-Jun-2013,18:00:00,16.930,735950,PBCC
15-Jun-2013,18:30:00,16.770,735951,PBCC
15-Jun-2013,19:00:00,16.770,735952,PBCC
15-Jun-2013,19:30:00,16.610,735953,PBCC
15-Jun-2013,20:00:00,16.610,735954,PBCC
15-Jun-2013,20:30:00,16.450,735955,PBCC
15-Jun-2013,21:00:00,16.450,735956,PBCC
15-Jun-2013,21:30:00,16.290,735957,PBCC
15-Jun-2013,22:00:00,16.130,735958,PBCC
15-Jun-2013,22:30:00,15.970,735959,PBCC
15-Jun-2013,23:00:00,15.820,735960,PBCC
15-Jun-2013,23:30:00,15.500,735961,PBCC
16-Jun-2013,0:00:00,15.340,735962,PBCC
16-Jun-2013,0:30:00,15.180,735963,PBCC
16-Jun-2013,1:00:00,15.020,735964,PBCC
16-Jun-2013,1:30:00,14.870,735965,PBCC
16-Jun-2013,2:00:00,14.550,735966,PBCC
16-Jun-2013,2:30:00,14.390,735967,PBCC
16-Jun-2013,3:00:00,14.240,735968,PBCC
16-Jun-2013,3:30:00,14.080,735969,PBCC
16-Jun-2013,4:00:00,13.930,735970,PBCC
