RowID,Date, Time,Water Temp C,SiteID,Water Logger ID
93,26-Oct-2013,13:00:00,5.719,PBCC,10411104
94,26-Oct-2013,13:30:00,5.847,PBCC,10411104
95,26-Oct-2013,14:00:00,5.949,PBCC,10411104
96,26-Oct-2013,14:30:00,6.051,PBCC,10411104
97,26-Oct-2013,15:00:00,6.128,PBCC,10411104
98,26-Oct-2013,15:30:00,6.204,PBCC,10411104
99,26-Oct-2013,16:00:00,6.281,PBCC,10411104
100,26-Oct-2013,16:30:00,6.255,PBCC,10411104
101,26-Oct-2013,17:00:00,6.230,PBCC,10411104
102,26-Oct-2013,17:30:00,6.204,PBCC,10411104
103,26-Oct-2013,18:00:00,6.204,PBCC,10411104
104,26-Oct-2013,18:30:00,6.230,PBCC,10411104
105,26-Oct-2013,19:00:00,6.255,PBCC,10411104
106,26-Oct-2013,19:30:00,6.255,PBCC,10411104
107,26-Oct-2013,20:00:00,6.281,PBCC,10411104
108,26-Oct-2013,20:30:00,6.331,PBCC,10411104
109,26-Oct-2013,21:00:00,6.382,PBCC,10411104
110,26-Oct-2013,21:30:00,6.408,PBCC,10411104
111,26-Oct-2013,22:00:00,6.433,PBCC,10411104
112,26-Oct-2013,22:30:00,6.458,PBCC,10411104
113,26-Oct-2013,23:00:00,6.458,PBCC,10411104
114,26-Oct-2013,23:30:00,6.458,PBCC,10411104
115,27-Oct-2013,0:00:00,6.484,PBCC,10411104
116,27-Oct-2013,0:30:00,6.509,PBCC,10411104
117,27-Oct-2013,1:00:00,6.535,PBCC,10411104
118,27-Oct-2013,1:30:00,6.535,PBCC,10411104
119,27-Oct-2013,2:00:00,6.560,PBCC,10411104
120,27-Oct-2013,2:30:00,6.585,PBCC,10411104
121,27-Oct-2013,3:00:00,6.585,PBCC,10411104
122,27-Oct-2013,3:30:00,6.611,PBCC,10411104
123,27-Oct-2013,4:00:00,6.611,PBCC,10411104
124,27-Oct-2013,4:30:00,6.636,PBCC,10411104
125,27-Oct-2013,5:00:00,6.636,PBCC,10411104
126,27-Oct-2013,5:30:00,6.636,PBCC,10411104
127,27-Oct-2013,6:00:00,6.585,PBCC,10411104
128,27-Oct-2013,6:30:00,6.585,PBCC,10411104
129,27-Oct-2013,7:00:00,6.585,PBCC,10411104
130,27-Oct-2013,7:30:00,6.585,PBCC,10411104
131,27-Oct-2013,8:00:00,6.585,PBCC,10411104
132,27-Oct-2013,8:30:00,6.560,PBCC,10411104
133,27-Oct-2013,9:00:00,6.636,PBCC,10411104
134,27-Oct-2013,9:30:00,6.661,PBCC,10411104
135,27-Oct-2013,10:00:00,6.687,PBCC,10411104
136,27-Oct-2013,10:30:00,6.813,PBCC,10411104
137,27-Oct-2013,11:00:00,7.015,PBCC,10411104
138,27-Oct-2013,11:30:00,7.192,PBCC,10411104
139,27-Oct-2013,12:00:00,7.293,PBCC,10411104
140,27-Oct-2013,12:30:00,7.293,PBCC,10411104
141,27-Oct-2013,13:00:00,7.318,PBCC,10411104
142,27-Oct-2013,13:30:00,7.368,PBCC,10411104
143,27-Oct-2013,14:00:00,7.368,PBCC,10411104
144,27-Oct-2013,14:30:00,7.444,PBCC,10411104
145,27-Oct-2013,15:00:00,7.469,PBCC,10411104
146,27-Oct-2013,15:30:00,7.494,PBCC,10411104
147,27-Oct-2013,16:00:00,7.494,PBCC,10411104
148,27-Oct-2013,16:30:00,7.519,PBCC,10411104
149,27-Oct-2013,17:00:00,7.494,PBCC,10411104
150,27-Oct-2013,17:30:00,7.494,PBCC,10411104
151,27-Oct-2013,18:00:00,7.469,PBCC,10411104
152,27-Oct-2013,18:30:00,7.444,PBCC,10411104
153,27-Oct-2013,19:00:00,7.419,PBCC,10411104
154,27-Oct-2013,19:30:00,7.368,PBCC,10411104
155,27-Oct-2013,20:00:00,7.293,PBCC,10411104
156,27-Oct-2013,20:30:00,7.242,PBCC,10411104
157,27-Oct-2013,21:00:00,7.192,PBCC,10411104
158,27-Oct-2013,21:30:00,7.116,PBCC,10411104
159,27-Oct-2013,22:00:00,7.041,PBCC,10411104
160,27-Oct-2013,22:30:00,6.940,PBCC,10411104
161,27-Oct-2013,23:00:00,6.864,PBCC,10411104
162,27-Oct-2013,23:30:00,6.788,PBCC,10411104
163,28-Oct-2013,0:00:00,6.687,PBCC,10411104
164,28-Oct-2013,0:30:00,6.585,PBCC,10411104
165,28-Oct-2013,1:00:00,6.484,PBCC,10411104
166,28-Oct-2013,1:30:00,6.382,PBCC,10411104
167,28-Oct-2013,2:00:00,6.281,PBCC,10411104
168,28-Oct-2013,2:30:00,6.179,PBCC,10411104
169,28-Oct-2013,3:00:00,6.077,PBCC,10411104
170,28-Oct-2013,3:30:00,5.975,PBCC,10411104
171,28-Oct-2013,4:00:00,5.898,PBCC,10411104
172,28-Oct-2013,4:30:00,5.796,PBCC,10411104
173,28-Oct-2013,5:00:00,5.693,PBCC,10411104
174,28-Oct-2013,5:30:00,5.616,PBCC,10411104
175,28-Oct-2013,6:00:00,5.514,PBCC,10411104
176,28-Oct-2013,6:30:00,5.411,PBCC,10411104
177,28-Oct-2013,7:00:00,5.334,PBCC,10411104
178,28-Oct-2013,7:30:00,5.257,PBCC,10411104
179,28-Oct-2013,8:00:00,5.154,PBCC,10411104
180,28-Oct-2013,8:30:00,5.102,PBCC,10411104
181,28-Oct-2013,9:00:00,5.076,PBCC,10411104
182,28-Oct-2013,9:30:00,5.102,PBCC,10411104
183,28-Oct-2013,10:00:00,5.154,PBCC,10411104
184,28-Oct-2013,10:30:00,5.308,PBCC,10411104
185,28-Oct-2013,11:00:00,5.437,PBCC,10411104
186,28-Oct-2013,11:30:00,5.642,PBCC,10411104
187,28-Oct-2013,12:00:00,5.847,PBCC,10411104
188,28-Oct-2013,12:30:00,6.051,PBCC,10411104
189,28-Oct-2013,13:00:00,6.255,PBCC,10411104
190,28-Oct-2013,13:30:00,6.306,PBCC,10411104
191,28-Oct-2013,14:00:00,6.357,PBCC,10411104
192,28-Oct-2013,14:30:00,6.306,PBCC,10411104
193,28-Oct-2013,15:00:00,6.357,PBCC,10411104
194,28-Oct-2013,15:30:00,6.357,PBCC,10411104
195,28-Oct-2013,16:00:00,6.433,PBCC,10411104
196,28-Oct-2013,16:30:00,6.509,PBCC,10411104
197,28-Oct-2013,17:00:00,6.560,PBCC,10411104
198,28-Oct-2013,17:30:00,6.585,PBCC,10411104
199,28-Oct-2013,18:00:00,6.636,PBCC,10411104
200,28-Oct-2013,18:30:00,6.636,PBCC,10411104
201,28-Oct-2013,19:00:00,6.636,PBCC,10411104
202,28-Oct-2013,19:30:00,6.636,PBCC,10411104
203,28-Oct-2013,20:00:00,6.636,PBCC,10411104
204,28-Oct-2013,20:30:00,6.585,PBCC,10411104
205,28-Oct-2013,21:00:00,6.535,PBCC,10411104
206,28-Oct-2013,21:30:00,6.484,PBCC,10411104
207,28-Oct-2013,22:00:00,6.433,PBCC,10411104
208,28-Oct-2013,22:30:00,6.357,PBCC,10411104
209,28-Oct-2013,23:00:00,6.306,PBCC,10411104
210,28-Oct-2013,23:30:00,6.230,PBCC,10411104
211,29-Oct-2013,0:00:00,6.153,PBCC,10411104
212,29-Oct-2013,0:30:00,6.051,PBCC,10411104
213,29-Oct-2013,1:00:00,5.975,PBCC,10411104
214,29-Oct-2013,1:30:00,5.872,PBCC,10411104
215,29-Oct-2013,2:00:00,5.770,PBCC,10411104
216,29-Oct-2013,2:30:00,5.642,PBCC,10411104
217,29-Oct-2013,3:00:00,5.539,PBCC,10411104
218,29-Oct-2013,3:30:00,5.437,PBCC,10411104
219,29-Oct-2013,4:00:00,5.360,PBCC,10411104
220,29-Oct-2013,4:30:00,5.257,PBCC,10411104
221,29-Oct-2013,5:00:00,5.154,PBCC,10411104
222,29-Oct-2013,5:30:00,5.050,PBCC,10411104
223,29-Oct-2013,6:00:00,4.973,PBCC,10411104
224,29-Oct-2013,6:30:00,4.869,PBCC,10411104
225,29-Oct-2013,7:00:00,4.792,PBCC,10411104
226,29-Oct-2013,7:30:00,4.714,PBCC,10411104
227,29-Oct-2013,8:00:00,4.610,PBCC,10411104
228,29-Oct-2013,8:30:00,4.532,PBCC,10411104
229,29-Oct-2013,9:00:00,4.506,PBCC,10411104
230,29-Oct-2013,9:30:00,4.506,PBCC,10411104
231,29-Oct-2013,10:00:00,4.558,PBCC,10411104
232,29-Oct-2013,10:30:00,4.636,PBCC,10411104
233,29-Oct-2013,11:00:00,4.792,PBCC,10411104
234,29-Oct-2013,11:30:00,4.947,PBCC,10411104
235,29-Oct-2013,12:00:00,5.154,PBCC,10411104
236,29-Oct-2013,12:30:00,5.257,PBCC,10411104
237,29-Oct-2013,13:00:00,5.411,PBCC,10411104
238,29-Oct-2013,13:30:00,5.514,PBCC,10411104
239,29-Oct-2013,14:00:00,5.514,PBCC,10411104
240,29-Oct-2013,14:30:00,5.565,PBCC,10411104
241,29-Oct-2013,15:00:00,5.565,PBCC,10411104
242,29-Oct-2013,15:30:00,5.565,PBCC,10411104
243,29-Oct-2013,16:00:00,5.539,PBCC,10411104
244,29-Oct-2013,16:30:00,5.514,PBCC,10411104
245,29-Oct-2013,17:00:00,5.437,PBCC,10411104
246,29-Oct-2013,17:30:00,5.411,PBCC,10411104
247,29-Oct-2013,18:00:00,5.411,PBCC,10411104
248,29-Oct-2013,18:30:00,5.411,PBCC,10411104
249,29-Oct-2013,19:00:00,5.385,PBCC,10411104
250,29-Oct-2013,19:30:00,5.360,PBCC,10411104
251,29-Oct-2013,20:00:00,5.308,PBCC,10411104
252,29-Oct-2013,20:30:00,5.257,PBCC,10411104
253,29-Oct-2013,21:00:00,5.179,PBCC,10411104
254,29-Oct-2013,21:30:00,5.102,PBCC,10411104
255,29-Oct-2013,22:00:00,5.050,PBCC,10411104
256,29-Oct-2013,22:30:00,4.973,PBCC,10411104
257,29-Oct-2013,23:00:00,4.895,PBCC,10411104
258,29-Oct-2013,23:30:00,4.818,PBCC,10411104
259,30-Oct-2013,0:00:00,4.792,PBCC,10411104
260,30-Oct-2013,0:30:00,4.714,PBCC,10411104
261,30-Oct-2013,1:00:00,4.636,PBCC,10411104
262,30-Oct-2013,1:30:00,4.610,PBCC,10411104
263,30-Oct-2013,2:00:00,4.558,PBCC,10411104
264,30-Oct-2013,2:30:00,4.532,PBCC,10411104
265,30-Oct-2013,3:00:00,4.480,PBCC,10411104
266,30-Oct-2013,3:30:00,4.454,PBCC,10411104
267,30-Oct-2013,4:00:00,4.428,PBCC,10411104
268,30-Oct-2013,4:30:00,4.376,PBCC,10411104
269,30-Oct-2013,5:00:00,4.324,PBCC,10411104
270,30-Oct-2013,5:30:00,4.298,PBCC,10411104
271,30-Oct-2013,6:00:00,4.272,PBCC,10411104
272,30-Oct-2013,6:30:00,4.272,PBCC,10411104
273,30-Oct-2013,7:00:00,4.220,PBCC,10411104
274,30-Oct-2013,7:30:00,4.220,PBCC,10411104
275,30-Oct-2013,8:00:00,4.194,PBCC,10411104
276,30-Oct-2013,8:30:00,4.194,PBCC,10411104
277,30-Oct-2013,9:00:00,4.220,PBCC,10411104
278,30-Oct-2013,9:30:00,4.246,PBCC,10411104
279,30-Oct-2013,10:00:00,4.272,PBCC,10411104
280,30-Oct-2013,10:30:00,4.324,PBCC,10411104
281,30-Oct-2013,11:00:00,4.428,PBCC,10411104
282,30-Oct-2013,11:30:00,4.506,PBCC,10411104
283,30-Oct-2013,12:00:00,4.636,PBCC,10411104
284,30-Oct-2013,12:30:00,4.714,PBCC,10411104
285,30-Oct-2013,13:00:00,4.818,PBCC,10411104
286,30-Oct-2013,13:30:00,4.947,PBCC,10411104
287,30-Oct-2013,14:00:00,5.050,PBCC,10411104
288,30-Oct-2013,14:30:00,5.154,PBCC,10411104
289,30-Oct-2013,15:00:00,5.257,PBCC,10411104
290,30-Oct-2013,15:30:00,5.360,PBCC,10411104
291,30-Oct-2013,16:00:00,5.462,PBCC,10411104
292,30-Oct-2013,16:30:00,5.539,PBCC,10411104
293,30-Oct-2013,17:00:00,5.539,PBCC,10411104
294,30-Oct-2013,17:30:00,5.539,PBCC,10411104
295,30-Oct-2013,18:00:00,5.539,PBCC,10411104
296,30-Oct-2013,18:30:00,5.539,PBCC,10411104
297,30-Oct-2013,19:00:00,5.539,PBCC,10411104
298,30-Oct-2013,19:30:00,5.565,PBCC,10411104
299,30-Oct-2013,20:00:00,5.539,PBCC,10411104
300,30-Oct-2013,20:30:00,5.539,PBCC,10411104
301,30-Oct-2013,21:00:00,5.514,PBCC,10411104
302,30-Oct-2013,21:30:00,5.488,PBCC,10411104
303,30-Oct-2013,22:00:00,5.462,PBCC,10411104
304,30-Oct-2013,22:30:00,5.411,PBCC,10411104
305,30-Oct-2013,23:00:00,5.360,PBCC,10411104
306,30-Oct-2013,23:30:00,5.308,PBCC,10411104
307,31-Oct-2013,0:00:00,5.257,PBCC,10411104
308,31-Oct-2013,0:30:00,5.205,PBCC,10411104
309,31-Oct-2013,1:00:00,5.154,PBCC,10411104
310,31-Oct-2013,1:30:00,5.102,PBCC,10411104
311,31-Oct-2013,2:00:00,5.050,PBCC,10411104
312,31-Oct-2013,2:30:00,4.999,PBCC,10411104
313,31-Oct-2013,3:00:00,4.947,PBCC,10411104
314,31-Oct-2013,3:30:00,4.895,PBCC,10411104
315,31-Oct-2013,4:00:00,4.895,PBCC,10411104
316,31-Oct-2013,4:30:00,4.844,PBCC,10411104
317,31-Oct-2013,5:00:00,4.818,PBCC,10411104
318,31-Oct-2013,5:30:00,4.792,PBCC,10411104
319,31-Oct-2013,6:00:00,4.766,PBCC,10411104
320,31-Oct-2013,6:30:00,4.740,PBCC,10411104
321,31-Oct-2013,7:00:00,4.714,PBCC,10411104
322,31-Oct-2013,7:30:00,4.714,PBCC,10411104
323,31-Oct-2013,8:00:00,4.688,PBCC,10411104
324,31-Oct-2013,8:30:00,4.714,PBCC,10411104
325,31-Oct-2013,9:00:00,4.740,PBCC,10411104
326,31-Oct-2013,9:30:00,4.766,PBCC,10411104
327,31-Oct-2013,10:00:00,4.792,PBCC,10411104
328,31-Oct-2013,10:30:00,4.844,PBCC,10411104
329,31-Oct-2013,11:00:00,4.921,PBCC,10411104
330,31-Oct-2013,11:30:00,4.999,PBCC,10411104
331,31-Oct-2013,12:00:00,5.076,PBCC,10411104
332,31-Oct-2013,12:30:00,5.154,PBCC,10411104
333,31-Oct-2013,13:00:00,5.257,PBCC,10411104
334,31-Oct-2013,13:30:00,5.308,PBCC,10411104
335,31-Oct-2013,14:00:00,5.411,PBCC,10411104
336,31-Oct-2013,14:30:00,5.462,PBCC,10411104
337,31-Oct-2013,15:00:00,5.565,PBCC,10411104
338,31-Oct-2013,15:30:00,5.642,PBCC,10411104
339,31-Oct-2013,16:00:00,5.745,PBCC,10411104
340,31-Oct-2013,16:30:00,5.821,PBCC,10411104
341,31-Oct-2013,17:00:00,5.924,PBCC,10411104
342,31-Oct-2013,17:30:00,5.975,PBCC,10411104
343,31-Oct-2013,18:00:00,6.051,PBCC,10411104
344,31-Oct-2013,18:30:00,6.128,PBCC,10411104
345,31-Oct-2013,19:00:00,6.204,PBCC,10411104
346,31-Oct-2013,19:30:00,6.281,PBCC,10411104
347,31-Oct-2013,20:00:00,6.382,PBCC,10411104
348,31-Oct-2013,20:30:00,6.433,PBCC,10411104
349,31-Oct-2013,21:00:00,6.535,PBCC,10411104
350,31-Oct-2013,21:30:00,6.636,PBCC,10411104
351,31-Oct-2013,22:00:00,6.687,PBCC,10411104
352,31-Oct-2013,22:30:00,6.839,PBCC,10411104
353,31-Oct-2013,23:00:00,6.914,PBCC,10411104
354,31-Oct-2013,23:30:00,6.990,PBCC,10411104
355,1-Nov-2013,0:00:00,7.091,PBCC,10411104
356,1-Nov-2013,0:30:00,7.217,PBCC,10411104
357,1-Nov-2013,1:00:00,7.343,PBCC,10411104
358,1-Nov-2013,1:30:00,7.444,PBCC,10411104
359,1-Nov-2013,2:00:00,7.594,PBCC,10411104
360,1-Nov-2013,2:30:00,7.670,PBCC,10411104
361,1-Nov-2013,3:00:00,7.795,PBCC,10411104
362,1-Nov-2013,3:30:00,7.870,PBCC,10411104
363,1-Nov-2013,4:00:00,7.970,PBCC,10411104
364,1-Nov-2013,4:30:00,8.070,PBCC,10411104
365,1-Nov-2013,5:00:00,8.145,PBCC,10411104
366,1-Nov-2013,5:30:00,8.245,PBCC,10411104
367,1-Nov-2013,6:00:00,8.344,PBCC,10411104
368,1-Nov-2013,6:30:00,8.469,PBCC,10411104
369,1-Nov-2013,7:00:00,8.593,PBCC,10411104
370,1-Nov-2013,7:30:00,8.717,PBCC,10411104
371,1-Nov-2013,8:00:00,8.841,PBCC,10411104
372,1-Nov-2013,8:30:00,8.990,PBCC,10411104
373,1-Nov-2013,9:00:00,9.139,PBCC,10411104
374,1-Nov-2013,9:30:00,9.238,PBCC,10411104
375,1-Nov-2013,10:00:00,9.386,PBCC,10411104
