GageID,SiteID,Date.Time,Water.Temp.C,Water.Temp.C_cd,Discharge.ft3.s,Discharge.ft3.s_cd,Water.Level.ft,Water.Level.ft_cd,SpecCond,SpecCond_cd,DO,DO_cd,pH,pH_cd,Turb,Turb_cd,99133,99133_cd
02035000,02035000,2017-02-01 00:00:00,5.4,P,7380,P,4.31,P,132,P,12.4,P,7.7,P,9.5,P,0.55,P
02035000,02035000,2017-02-01 00:15:00,5.4,P,7380,P,4.31,P,132,P,12.4,P,7.7,P,9.7,P,0.55,P
02035000,02035000,2017-02-01 00:30:00,5.4,P,7360,P,4.3,P,132,P,12.4,P,7.7,P,9.5,P,0.55,P
02035000,02035000,2017-02-01 00:45:00,5.4,P,7360,P,4.3,P,132,P,12.4,P,7.7,P,9.6,P,0.55,P
02035000,02035000,2017-02-01 01:00:00,5.4,P,7330,P,4.29,P,132,P,12.4,P,7.7,P,9.7,P,0.55,P
02035000,02035000,2017-02-01 01:15:00,5.4,P,7330,P,4.29,P,132,P,12.4,P,7.7,P,9.3,P,0.55,P
02035000,02035000,2017-02-01 01:30:00,5.5,P,7330,P,4.29,P,132,P,12.4,P,7.7,P,9.5,P,0.55,P
02035000,02035000,2017-02-01 01:45:00,5.5,P,7330,P,4.29,P,132,P,12.4,P,7.7,P,9.8,P,0.55,P
02035000,02035000,2017-02-01 02:00:00,5.5,P,7330,P,4.29,P,132,P,12.4,P,7.7,P,9.3,P,0.55,P
02035000,02035000,2017-02-01 02:15:00,5.5,P,7310,P,4.28,P,132,P,12.3,P,7.7,P,9.3,P,0.55,P
02035000,02035000,2017-02-01 02:30:00,5.5,P,7310,P,4.28,P,132,P,12.3,P,7.7,P,9.2,P,0.55,P
02035000,02035000,2017-02-01 02:45:00,5.5,P,7310,P,4.28,P,132,P,12.3,P,7.7,P,9.5,P,0.55,P
02035000,02035000,2017-02-01 03:00:00,5.5,P,7310,P,4.28,P,132,P,12.3,P,7.7,P,9,P,0.55,P
02035000,02035000,2017-02-01 03:15:00,5.5,P,7290,P,4.27,P,132,P,12.3,P,7.7,P,9.3,P,0.55,P
02035000,02035000,2017-02-01 03:30:00,5.5,P,7290,P,4.27,P,132,P,12.3,P,7.7,P,9.2,P,0.55,P
02035000,02035000,2017-02-01 03:45:00,5.5,P,7270,P,4.26,P,132,P,12.3,P,7.7,P,9.7,P,0.55,P
02035000,02035000,2017-02-01 04:00:00,5.5,P,7270,P,4.26,P,132,P,12.3,P,7.7,P,9.3,P,0.55,P
