Date,Time,Water Temp C,Water RowID,SiteID,Water LoggerID,Date Time
21-Jun-13,06:30,16.034,,HRCC,9734130,2013-06-21 06:30
21-Jun-13,07:00,15.963,,HRCC,9734130,2013-06-21 07:00
21-Jun-13,07:30,15.915,,HRCC,9734130,2013-06-21 07:30
21-Jun-13,08:00,15.891,,HRCC,9734130,2013-06-21 08:00
21-Jun-13,08:30,15.891,,HRCC,9734130,2013-06-21 08:30
21-Jun-13,09:00,15.939,,HRCC,9734130,2013-06-21 09:00
21-Jun-13,09:30,16.01,,HRCC,9734130,2013-06-21 09:30
21-Jun-13,10:00,16.106,,HRCC,9734130,2013-06-21 10:00
21-Jun-13,10:30,16.272,,HRCC,9734130,2013-06-21 10:30
21-Jun-13,11:00,16.511,,HRCC,9734130,2013-06-21 11:00
21-Jun-13,11:30,16.844,,HRCC,9734130,2013-06-21 11:30
21-Jun-13,12:00,17.249,,HRCC,9734130,2013-06-21 12:00
21-Jun-13,12:30,17.653,,HRCC,9734130,2013-06-21 12:30
21-Jun-13,13:00,17.867,,HRCC,9734130,2013-06-21 13:00
21-Jun-13,13:30,18.343,,HRCC,9734130,2013-06-21 13:30
21-Jun-13,14:00,18.675,,HRCC,9734130,2013-06-21 14:00
21-Jun-13,14:30,18.937,,HRCC,9734130,2013-06-21 14:30
21-Jun-13,15:00,19.127,,HRCC,9734130,2013-06-21 15:00
21-Jun-13,15:30,19.199,,HRCC,9734130,2013-06-21 15:30
21-Jun-13,16:00,19.318,,HRCC,9734130,2013-06-21 16:00
21-Jun-13,16:30,19.436,,HRCC,9734130,2013-06-21 16:30
21-Jun-13,17:00,19.555,,HRCC,9734130,2013-06-21 17:00
21-Jun-13,17:30,19.603,,HRCC,9734130,2013-06-21 17:30
21-Jun-13,18:00,19.627,,HRCC,9734130,2013-06-21 18:00
21-Jun-13,18:30,19.651,,HRCC,9734130,2013-06-21 18:30
21-Jun-13,19:00,19.674,,HRCC,9734130,2013-06-21 19:00
21-Jun-13,19:30,19.698,,HRCC,9734130,2013-06-21 19:30
21-Jun-13,20:00,19.698,,HRCC,9734130,2013-06-21 20:00
21-Jun-13,20:30,19.651,,HRCC,9734130,2013-06-21 20:30
21-Jun-13,21:00,19.579,,HRCC,9734130,2013-06-21 21:00
21-Jun-13,21:30,19.508,,HRCC,9734130,2013-06-21 21:30
21-Jun-13,22:00,19.413,,HRCC,9734130,2013-06-21 22:00
21-Jun-13,22:30,19.294,,HRCC,9734130,2013-06-21 22:30
21-Jun-13,23:00,19.151,,HRCC,9734130,2013-06-21 23:00
21-Jun-13,23:30,19.008,,HRCC,9734130,2013-06-21 23:30
22-Jun-13,00:00,18.866,,HRCC,9734130,2013-06-22 00:00
22-Jun-13,00:30,18.723,,HRCC,9734130,2013-06-22 00:30
22-Jun-13,01:00,18.58,,HRCC,9734130,2013-06-22 01:00
22-Jun-13,01:30,18.485,,HRCC,9734130,2013-06-22 01:30
22-Jun-13,02:00,18.366,,HRCC,9734130,2013-06-22 02:00
22-Jun-13,02:30,18.271,,HRCC,9734130,2013-06-22 02:30
22-Jun-13,03:00,18.2,,HRCC,9734130,2013-06-22 03:00
22-Jun-13,03:30,18.105,,HRCC,9734130,2013-06-22 03:30
22-Jun-13,04:00,18.01,,HRCC,9734130,2013-06-22 04:00
22-Jun-13,04:30,17.938,,HRCC,9734130,2013-06-22 04:30
22-Jun-13,05:00,17.843,,HRCC,9734130,2013-06-22 05:00
22-Jun-13,05:30,17.724,,HRCC,9734130,2013-06-22 05:30
22-Jun-13,06:00,17.629,,HRCC,9734130,2013-06-22 06:00
22-Jun-13,06:30,17.558,,HRCC,9734130,2013-06-22 06:30
22-Jun-13,07:00,17.486,,HRCC,9734130,2013-06-22 07:00
22-Jun-13,07:30,17.439,,HRCC,9734130,2013-06-22 07:30
22-Jun-13,08:00,17.415,,HRCC,9734130,2013-06-22 08:00
22-Jun-13,08:30,17.415,,HRCC,9734130,2013-06-22 08:30
22-Jun-13,09:00,17.439,,HRCC,9734130,2013-06-22 09:00
22-Jun-13,09:30,17.486,,HRCC,9734130,2013-06-22 09:30
22-Jun-13,10:00,17.582,,HRCC,9734130,2013-06-22 10:00
22-Jun-13,10:30,17.701,,HRCC,9734130,2013-06-22 10:30
22-Jun-13,11:00,17.891,,HRCC,9734130,2013-06-22 11:00
