GageID,SiteID,Date.Time,Water.Temp.C,Air.Temp.C,Discharge.ft3/s,Water.Level.ft,Water.Temp.C_cd,Air.Temp.C_cd,Discharge.ft3/s_cd,Water.Level.ft_cd
1187300,HRCC,10/22/2013 1:00,9.2,4.4,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 1:15,9.2,4.3,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 1:30,9.2,4.3,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 1:45,9.2,4.3,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 2:00,9.1,4.3,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 2:15,9.1,4.4,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 2:30,9.1,4.3,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 2:45,9.1,4.2,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 3:00,9,4,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 3:15,9,3.8,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 3:30,9,3.8,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 3:45,9,3.7,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 4:00,8.9,3.5,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 4:15,8.9,3.4,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 4:30,8.9,3.4,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 4:45,8.8,3.2,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 5:00,8.8,3.4,8.6,0.71,P,P,P,P
1187300,HRCC,10/22/2013 5:15,8.8,3.7,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 5:30,8.8,4,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 5:45,8.8,4.2,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 6:00,8.8,4.3,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 6:15,8.8,4.4,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 6:30,8.8,4.3,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 6:45,8.8,4.3,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 7:00,8.8,4.3,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 7:15,8.7,4.3,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 7:30,8.7,4.2,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 7:45,8.7,4.2,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 8:00,8.7,4.6,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 8:15,8.7,5,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 8:30,8.7,5.6,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 8:45,8.8,6.3,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 9:00,8.8,6.9,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 9:15,8.8,7.5,8.4,0.7,P,P,P,P
1187300,HRCC,10/22/2013 9:30,8.9,7.7,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 9:45,8.9,8.3,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 10:00,8.9,8.7,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 10:15,9,11.1,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 10:30,9.1,11.9,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 10:45,9.2,12.2,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 11:00,9.2,12.3,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 11:15,9.3,12.6,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 11:30,9.3,13.2,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 11:45,9.4,14.1,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 12:00,9.6,14.6,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 12:15,9.7,15.2,8.2,0.69,P,P,P,P
1187300,HRCC,10/22/2013 12:30,9.8,15.2,8.2,0.69,P,P,P,P
