Water RowID,Date, Time,Water Temp C,SiteID,Water LoggerID,Date Time
1414,17-Nov-12,01:30:00,4.011,PBCC,10000520,2012-11-17 01:30
1415,17-Nov-12,02:00:00,3.932,PBCC,10000520,2012-11-17 02:00
1416,17-Nov-12,02:30:00,3.854,PBCC,10000520,2012-11-17 02:30
1417,17-Nov-12,03:00:00,3.775,PBCC,10000520,2012-11-17 03:00
1418,17-Nov-12,03:30:00,3.722,PBCC,10000520,2012-11-17 03:30
1419,17-Nov-12,04:00:00,3.617,PBCC,10000520,2012-11-17 04:00
1420,17-Nov-12,04:30:00,3.538,PBCC,10000520,2012-11-17 04:30
1421,17-Nov-12,05:00:00,3.485,PBCC,10000520,2012-11-17 05:00
1422,17-Nov-12,05:30:00,3.406,PBCC,10000520,2012-11-17 05:30
1423,17-Nov-12,06:00:00,3.327,PBCC,10000520,2012-11-17 06:00
1424,17-Nov-12,06:30:00,3.248,PBCC,10000520,2012-11-17 06:30
1425,17-Nov-12,07:00:00,3.221,PBCC,10000520,2012-11-17 07:00
1426,17-Nov-12,07:30:00,3.142,PBCC,10000520,2012-11-17 07:30
1427,17-Nov-12,08:00:00,3.116,PBCC,10000520,2012-11-17 08:00
1428,17-Nov-12,08:30:00,3.063,PBCC,10000520,2012-11-17 08:30
1429,17-Nov-12,09:00:00,3.009,PBCC,10000520,2012-11-17 09:00
1430,17-Nov-12,09:30:00,3.063,PBCC,10000520,2012-11-17 09:30
1431,17-Nov-12,10:00:00,3.063,PBCC,10000520,2012-11-17 10:00
1432,17-Nov-12,10:30:00,3.168,PBCC,10000520,2012-11-17 10:30
1433,17-Nov-12,11:00:00,3.274,PBCC,10000520,2012-11-17 11:00
1434,17-Nov-12,11:30:00,3.433,PBCC,10000520,2012-11-17 11:30
1435,17-Nov-12,12:00:00,3.591,PBCC,10000520,2012-11-17 12:00
1436,17-Nov-12,12:30:00,3.749,PBCC,10000520,2012-11-17 12:30
1437,17-Nov-12,13:00:00,3.932,PBCC,10000520,2012-11-17 13:00
1438,17-Nov-12,13:30:00,4.089,PBCC,10000520,2012-11-17 13:30
1439,17-Nov-12,14:00:00,4.22,PBCC,10000520,2012-11-17 14:00
1440,17-Nov-12,14:30:00,4.376,PBCC,10000520,2012-11-17 14:30
1441,17-Nov-12,15:00:00,4.532,PBCC,10000520,2012-11-17 15:00
1442,17-Nov-12,15:30:00,4.636,PBCC,10000520,2012-11-17 15:30
1443,17-Nov-12,16:00:00,4.688,PBCC,10000520,2012-11-17 16:00
1444,17-Nov-12,16:30:00,4.74,PBCC,10000520,2012-11-17 16:30
1445,17-Nov-12,17:00:00,4.74,PBCC,10000520,2012-11-17 17:00
1446,17-Nov-12,17:30:00,4.74,PBCC,10000520,2012-11-17 17:30
1447,17-Nov-12,18:00:00,4.74,PBCC,10000520,2012-11-17 18:00
1448,17-Nov-12,18:30:00,4.714,PBCC,10000520,2012-11-17 18:30
1449,17-Nov-12,19:00:00,4.662,PBCC,10000520,2012-11-17 19:00
1450,17-Nov-12,19:30:00,4.584,PBCC,10000520,2012-11-17 19:30
1451,17-Nov-12,20:00:00,4.506,PBCC,10000520,2012-11-17 20:00
1452,17-Nov-12,20:30:00,4.402,PBCC,10000520,2012-11-17 20:30
1453,17-Nov-12,21:00:00,4.298,PBCC,10000520,2012-11-17 21:00
1454,17-Nov-12,21:30:00,4.194,PBCC,10000520,2012-11-17 21:30
1455,17-Nov-12,22:00:00,4.115,PBCC,10000520,2012-11-17 22:00
1456,17-Nov-12,22:30:00,4.011,PBCC,10000520,2012-11-17 22:30
1457,17-Nov-12,23:00:00,3.932,PBCC,10000520,2012-11-17 23:00
1458,17-Nov-12,23:30:00,3.88,PBCC,10000520,2012-11-17 23:30
1459,18-Nov-12,00:00:00,3.775,PBCC,10000520,2012-11-18 00:00
1460,18-Nov-12,00:30:00,3.722,PBCC,10000520,2012-11-18 00:30
1461,18-Nov-12,01:00:00,3.643,PBCC,10000520,2012-11-18 01:00
1462,18-Nov-12,01:30:00,3.564,PBCC,10000520,2012-11-18 01:30
1463,18-Nov-12,02:00:00,3.485,PBCC,10000520,2012-11-18 02:00
1464,18-Nov-12,02:30:00,3.38,PBCC,10000520,2012-11-18 02:30
1465,18-Nov-12,03:00:00,3.327,PBCC,10000520,2012-11-18 03:00
1466,18-Nov-12,03:30:00,3.221,PBCC,10000520,2012-11-18 03:30
1467,18-Nov-12,04:00:00,3.142,PBCC,10000520,2012-11-18 04:00
1468,18-Nov-12,04:30:00,3.063,PBCC,10000520,2012-11-18 04:30
1469,18-Nov-12,05:00:00,3.009,PBCC,10000520,2012-11-18 05:00
1470,18-Nov-12,05:30:00,2.903,PBCC,10000520,2012-11-18 05:30
1471,18-Nov-12,06:00:00,2.85,PBCC,10000520,2012-11-18 06:00
1472,18-Nov-12,06:30:00,2.744,PBCC,10000520,2012-11-18 06:30
1473,18-Nov-12,07:00:00,2.69,PBCC,10000520,2012-11-18 07:00
1474,18-Nov-12,07:30:00,2.61,PBCC,10000520,2012-11-18 07:30
1475,18-Nov-12,08:00:00,2.557,PBCC,10000520,2012-11-18 08:00
1476,18-Nov-12,08:30:00,2.53,PBCC,10000520,2012-11-18 08:30
