GageID,SiteID,Date.Time,Water.Temp.C,Water.Temp.C_cd,Air.Temp.C,Air.Temp.C_cd,Discharge.ft3.s,Discharge.ft3.s_cd,Water.Level.ft,Water.Level.ft_cd
01187300,01187300,2016-12-01 00:00:00,5.7,P,7.1,P,41.4,P,1.86,P
01187300,01187300,2016-12-01 00:15:00,5.7,P,7.1,P,42.8,P,1.9,P
01187300,01187300,2016-12-01 00:30:00,5.7,P,7.1,P,44.5,P,1.95,P
01187300,01187300,2016-12-01 00:45:00,5.8,P,7,P,48.1,P,2.02,P
01187300,01187300,2016-12-01 01:00:00,5.8,P,7,P,51.4,P,2.06,P
01187300,01187300,2016-12-01 01:15:00,5.8,P,7,P,53.1,P,2.08,P
01187300,01187300,2016-12-01 01:30:00,5.8,P,7,P,56.7,P,2.12,P
01187300,01187300,2016-12-01 01:45:00,5.8,P,7.1,P,59.5,P,2.15,P
01187300,01187300,2016-12-01 02:00:00,5.9,P,7,P,61.4,P,2.17,P
01187300,01187300,2016-12-01 02:15:00,5.9,P,7,P,63.3,P,2.19,P
01187300,01187300,2016-12-01 02:30:00,5.9,P,7,P,67.3,P,2.23,P
01187300,01187300,2016-12-01 02:45:00,5.9,P,6.9,P,73.4,P,2.29,P
01187300,01187300,2016-12-01 03:00:00,5.9,P,6.9,P,77.7,P,2.33,P
01187300,01187300,2016-12-01 03:15:00,6,P,6.9,P,79.9,P,2.35,P
01187300,01187300,2016-12-01 03:30:00,6,P,7.1,P,83.2,P,2.38,P
01187300,01187300,2016-12-01 03:45:00,6,P,7,P,85.5,P,2.4,P
01187300,01187300,2016-12-01 04:00:00,6,P,7,P,85.5,P,2.4,P
01187300,01187300,2016-12-01 04:15:00,6,P,7,P,86.6,P,2.41,P
01187300,01187300,2016-12-01 04:30:00,6,P,7.3,P,87.8,P,2.42,P
01187300,01187300,2016-12-01 04:45:00,6.1,P,7.2,P,86.6,P,2.41,P
01187300,01187300,2016-12-01 05:00:00,6.1,P,6.9,P,88.9,P,2.43,P
01187300,01187300,2016-12-01 05:15:00,6.1,P,6.4,P,87.8,P,2.42,P
01187300,01187300,2016-12-01 05:30:00,6.1,P,6,P,88.9,P,2.43,P
01187300,01187300,2016-12-01 05:45:00,6.1,P,5.9,P,91.2,P,2.45,P
01187300,01187300,2016-12-01 06:00:00,6,P,5.6,P,90.1,P,2.44,P
01187300,01187300,2016-12-01 06:15:00,6,P,5.3,P,90.1,P,2.44,P
01187300,01187300,2016-12-01 06:30:00,6,P,4.9,P,88.9,P,2.43,P
01187300,01187300,2016-12-01 06:45:00,6,P,4.7,P,87.8,P,2.42,P
01187300,01187300,2016-12-01 07:00:00,6,P,4.5,P,90.1,P,2.44,P
01187300,01187300,2016-12-01 07:15:00,6,P,4.3,P,88.9,P,2.43,P
