GageID,SiteID,Date.Time,Water.Temp.C,Water.Temp.C_cd,Discharge.ft3.s,Discharge.ft3.s_cd,Water.Level.ft,Water.Level.ft_cd,SpecCond,SpecCond_cd,DO,DO_cd,pH,pH_cd,Turb,Turb_cd,99133,99133_cd
02035000,02035000,2016-12-01 00:00:00,10.8,P,2340,P,1.62,P,254,P,10.4,P,7.8,P,1.1,P,0.1,P
02035000,02035000,2016-12-01 00:15:00,10.8,P,2340,P,1.62,P,252,P,10.4,P,7.8,P,1.2,P,0.1,P
02035000,02035000,2016-12-01 00:30:00,10.9,P,2310,P,1.6,P,249,P,10.3,P,7.8,P,1.9,P,0.11,P
02035000,02035000,2016-12-01 00:45:00,10.9,P,2220,P,1.55,P,247,P,10.4,P,7.8,P,1.3,P,0.11,P
02035000,02035000,2016-12-01 01:00:00,10.9,P,2220,P,1.55,P,246,P,10.4,P,7.8,P,2.2,P,0.11,P
02035000,02035000,2016-12-01 01:15:00,10.9,P,2320,P,1.61,P,245,P,10.3,P,7.8,P,4.4,P,0.11,P
02035000,02035000,2016-12-01 01:30:00,10.9,P,2410,P,1.66,P,244,P,10.3,P,7.8,P,2.5,P,0.11,P
02035000,02035000,2016-12-01 01:45:00,10.9,P,2430,P,1.67,P,243,P,10.3,P,7.8,P,1.6,P,0.11,P
02035000,02035000,2016-12-01 02:00:00,10.9,P,2430,P,1.67,P,243,P,10.3,P,7.7,P,1.9,P,0.12,P
02035000,02035000,2016-12-01 02:15:00,10.9,P,2440,P,1.68,P,242,P,10.3,P,7.7,P,1.3,P,0.12,P
02035000,02035000,2016-12-01 02:30:00,10.9,P,2460,P,1.69,P,242,P,10.3,P,7.7,P,1.5,P,0.12,P
02035000,02035000,2016-12-01 02:45:00,10.9,P,2480,P,1.7,P,241,P,10.2,P,7.7,P,1.2,P,0.12,P
02035000,02035000,2016-12-01 03:00:00,10.9,P,2490,P,1.71,P,241,P,10.2,P,7.7,P,1.4,P,0.12,P
02035000,02035000,2016-12-01 03:15:00,10.8,P,2510,P,1.72,P,241,P,10.2,P,7.7,P,1.5,P,0.12,P
02035000,02035000,2016-12-01 03:30:00,10.8,P,2530,P,1.73,P,241,P,10.2,P,7.7,P,1.4,P,0.12,P
02035000,02035000,2016-12-01 03:45:00,10.8,P,2530,P,1.73,P,240,P,10.1,P,7.7,P,1.3,P,0.13,P
02035000,02035000,2016-12-01 04:00:00,10.8,P,2550,P,1.74,P,240,P,10.1,P,7.7,P,1.5,P,0.13,P
02035000,02035000,2016-12-01 04:15:00,10.8,P,2560,P,1.75,P,240,P,10.1,P,7.7,P,1.1,P,0.13,P
02035000,02035000,2016-12-01 04:30:00,10.8,P,2560,P,1.75,P,240,P,10.1,P,7.7,P,1.2,P,0.13,P
02035000,02035000,2016-12-01 04:45:00,10.8,P,2580,P,1.76,P,241,P,10.1,P,7.7,P,1.3,P,0.13,P
02035000,02035000,2016-12-01 05:00:00,10.8,P,2580,P,1.76,P,240,P,10,P,7.7,P,1.2,P,0.13,P
02035000,02035000,2016-12-01 05:15:00,10.8,P,2600,P,1.77,P,240,P,10,P,7.7,P,1.1,P,0.13,P
02035000,02035000,2016-12-01 05:30:00,10.8,P,2620,P,1.78,P,241,P,10,P,7.7,P,1.6,P,0.13,P
02035000,02035000,2016-12-01 05:45:00,10.8,P,2620,P,1.78,P,241,P,10,P,7.7,P,1.1,P,0.13,P
02035000,02035000,2016-12-01 06:00:00,10.8,P,2630,P,1.79,P,241,P,10,P,7.7,P,1.2,P,0.13,P
