GageID,SiteID,Date.Time,Water.Temp.C,Water.Temp.C_cd,Air.Temp.C,Air.Temp.C_cd,Discharge.ft3.s,Discharge.ft3.s_cd,Water.Level.ft,Water.Level.ft_cd
01187300,01187300,2012-01-01 17:15:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 17:30:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 17:45:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 18:00:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 18:15:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 18:30:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 18:45:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 19:00:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 19:15:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 19:30:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 19:45:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 20:00:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 20:15:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 20:30:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 20:45:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 21:00:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 21:15:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 21:30:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 21:45:00,NA,NA,NA,NA,49.9,A,2.05,A
01187300,01187300,2012-01-01 22:00:00,NA,NA,NA,NA,50.7,A,2.06,A
01187300,01187300,2012-01-01 22:15:00,NA,NA,NA,NA,50.7,A,2.06,A
01187300,01187300,2012-01-01 22:30:00,NA,NA,NA,NA,51.5,A,2.07,A
01187300,01187300,2012-01-01 22:45:00,NA,NA,NA,NA,51.5,A,2.07,A
01187300,01187300,2012-01-01 23:00:00,NA,NA,NA,NA,52.3,A,2.08,A
01187300,01187300,2012-01-01 23:15:00,NA,NA,NA,NA,53.2,A,2.09,A
01187300,01187300,2012-01-01 23:30:00,NA,NA,NA,NA,53.2,A,2.09,A
01187300,01187300,2012-01-01 23:45:00,NA,NA,NA,NA,54,A,2.1,A
01187300,01187300,2012-01-02 00:00:00,NA,NA,NA,NA,NA,NA,2.11,A
01187300,01187300,2012-01-02 00:15:00,NA,NA,NA,NA,NA,NA,2.12,A
01187300,01187300,2012-01-02 00:30:00,NA,NA,NA,NA,NA,NA,2.14,A
01187300,01187300,2012-01-02 00:45:00,NA,NA,NA,NA,NA,NA,2.15,A
01187300,01187300,2012-01-02 01:00:00,NA,NA,NA,NA,NA,NA,2.16,A
01187300,01187300,2012-01-02 01:15:00,NA,NA,NA,NA,NA,NA,2.18,A
01187300,01187300,2012-01-02 01:30:00,NA,NA,NA,NA,NA,NA,2.19,A
01187300,01187300,2012-01-02 01:45:00,NA,NA,NA,NA,NA,NA,2.2,A
01187300,01187300,2012-01-02 02:00:00,NA,NA,NA,NA,NA,NA,2.21,A
01187300,01187300,2012-01-02 02:15:00,NA,NA,NA,NA,NA,NA,2.22,A
01187300,01187300,2012-01-02 02:30:00,NA,NA,NA,NA,NA,NA,2.23,A
01187300,01187300,2012-01-02 02:45:00,NA,NA,NA,NA,NA,NA,2.23,A
01187300,01187300,2012-01-02 03:00:00,NA,NA,NA,NA,NA,NA,2.24,A
