SiteID,Date,Time,Date_Time,Water.Temp..C,Air.LoggerID,Air.RowID,Air.Temp..C,Water.BP.psi,Air.BP.psi,Water.Level.ft,Water.LoggerID,Water.RowID
PBCC,2012-11-15,11:00:00,2012-11-15 11:00:00,21.724,NA,NA,NA,NA,NA,NA,10000520,1337
PBCC,2012-11-15,11:30:00,2012-11-15 11:30:00,19.651,NA,NA,NA,NA,NA,NA,10000520,1338
PBCC,2012-11-15,12:00:00,2012-11-15 12:00:00,17.748,NA,NA,NA,NA,NA,NA,10000520,1339
PBCC,2012-11-15,12:30:00,2012-11-15 12:30:00,13.329,NA,NA,NA,NA,NA,NA,10000520,1340
PBCC,2012-11-15,13:00:00,2012-11-15 13:00:00,6.914,NA,NA,NA,NA,NA,NA,10000520,1341
PBCC,2012-11-15,13:30:00,2012-11-15 13:30:00,8.245,NA,NA,NA,NA,NA,NA,10000520,1342
PBCC,2012-11-15,14:00:00,2012-11-15 14:00:00,9.386,NA,NA,NA,NA,NA,NA,10000520,1343
PBCC,2012-11-15,14:30:00,2012-11-15 14:30:00,4.895,NA,NA,NA,NA,NA,NA,10000520,1344
PBCC,2012-11-15,15:00:00,2012-11-15 15:00:00,4.973,NA,NA,NA,NA,NA,NA,10000520,1345
PBCC,2012-11-15,15:30:00,2012-11-15 15:30:00,5.05,NA,NA,NA,NA,NA,NA,10000520,1346
PBCC,2012-11-15,16:00:00,2012-11-15 16:00:00,5.102,NA,NA,NA,NA,NA,NA,10000520,1347
PBCC,2012-11-15,16:30:00,2012-11-15 16:30:00,5.154,NA,NA,NA,NA,NA,NA,10000520,1348
PBCC,2012-11-15,17:00:00,2012-11-15 17:00:00,5.179,NA,NA,NA,NA,NA,NA,10000520,1349
PBCC,2012-11-15,17:30:00,2012-11-15 17:30:00,5.205,NA,NA,NA,NA,NA,NA,10000520,1350
PBCC,2012-11-15,18:00:00,2012-11-15 18:00:00,5.205,NA,NA,NA,NA,NA,NA,10000520,1351
PBCC,2012-11-15,18:30:00,2012-11-15 18:30:00,5.179,NA,NA,NA,NA,NA,NA,10000520,1352
PBCC,2012-11-15,19:00:00,2012-11-15 19:00:00,5.154,NA,NA,NA,NA,NA,NA,10000520,1353
PBCC,2012-11-15,19:30:00,2012-11-15 19:30:00,5.102,NA,NA,NA,NA,NA,NA,10000520,1354
PBCC,2012-11-15,20:00:00,2012-11-15 20:00:00,5.05,NA,NA,NA,NA,NA,NA,10000520,1355
PBCC,2012-11-15,20:30:00,2012-11-15 20:30:00,4.973,NA,NA,NA,NA,NA,NA,10000520,1356
PBCC,2012-11-15,21:00:00,2012-11-15 21:00:00,4.895,NA,NA,NA,NA,NA,NA,10000520,1357
PBCC,2012-11-15,21:30:00,2012-11-15 21:30:00,4.818,NA,NA,NA,NA,NA,NA,10000520,1358
PBCC,2012-11-15,22:00:00,2012-11-15 22:00:00,4.74,NA,NA,NA,NA,NA,NA,10000520,1359
